"phenotype","fdr_threshold","contrast","model","up","down"
"caa","0.05","cvda_4gp21","basic","9","52"
"caa","0.05","cvda_4gp22","basic","6","56"
"caa","0.05","cvda_4gp23","basic","34","10"
"caa","0.05","cvda_4gp21","lifestyle","3","46"
"caa","0.05","cvda_4gp22","lifestyle","2","41"
"caa","0.05","cvda_4gp23","lifestyle","13","10"
"caa","0.05","cvda_4gp21","AD","3","50"
"caa","0.05","cvda_4gp22","AD","2","40"
"caa","0.05","cvda_4gp23","AD","15","11"
"caa","0.05","cvda_4gp21","path","3","43"
"caa","0.05","cvda_4gp22","path","3","39"
"caa","0.05","cvda_4gp23","path","7","8"
"caa","0.05","cvda_4gp21","basic","15","72"
"caa","0.05","cvda_4gp22","basic","11","88"
"caa","0.05","cvda_4gp23","basic","67","17"
"caa","0.05","cvda_4gp21","lifestyle","3","57"
"caa","0.05","cvda_4gp22","lifestyle","3","72"
"caa","0.05","cvda_4gp23","lifestyle","35","20"
"caa","0.05","cvda_4gp21","AD","3","61"
"caa","0.05","cvda_4gp22","AD","3","73"
"caa","0.05","cvda_4gp23","AD","32","15"
"caa","0.05","cvda_4gp21","path","3","59"
"caa","0.05","cvda_4gp22","path","4","59"
"caa","0.05","cvda_4gp23","path","19","13"
"art","0.05","cvda_4gp21","basic","9","52"
"art","0.05","cvda_4gp22","basic","6","56"
"art","0.05","cvda_4gp23","basic","34","10"
"art","0.05","cvda_4gp21","lifestyle","3","46"
"art","0.05","cvda_4gp22","lifestyle","2","41"
"art","0.05","cvda_4gp23","lifestyle","13","10"
"art","0.05","cvda_4gp21","AD","3","50"
"art","0.05","cvda_4gp22","AD","2","40"
"art","0.05","cvda_4gp23","AD","15","11"
"art","0.05","cvda_4gp21","path","3","43"
"art","0.05","cvda_4gp22","path","3","39"
"art","0.05","cvda_4gp23","path","7","8"
"art","0.10","cvda_4gp21","basic","15","72"
"art","0.10","cvda_4gp22","basic","11","88"
"art","0.10","cvda_4gp23","basic","67","17"
"art","0.10","cvda_4gp21","lifestyle","3","57"
"art","0.10","cvda_4gp22","lifestyle","3","72"
