"phenotype","fdr_threshold","contrast","model","up","down"
"caa","0.05","caa_4gp1","basic","",""
"caa","0.05","caa_4gp2","basic","negative regulation of growth, G protein-coupled receptor signaling pathway, potassium ion import across plasma membrane, cellular response to cadmium ion","endoplasmic reticulum to Golgi vesicle-mediated transport, tricarboxylic acid cycle, response to unfolded protein, protein stabilization, fatty acid beta-oxidation, protein deubiquitination, mitochondrion organization, ubiquitin-dependent protein catabolic process, negative regulation of apoptotic process, stress granule assembly, ERAD pathway, protein refolding, retinoid metabolic process, antigen processing and presentation, protein export from nucleus, protein import into nucleus"
"caa","0.05","caa_4gp3","basic","cilium movement, negative regulation of DNA-templated transcription, cell differentiation, protein phosphorylation, skin development, presynaptic modulation of chemical synaptic transmission, potassium ion transport, potassium ion transmembrane transport, excitatory postsynaptic potential, potassium ion import across plasma membrane, cochlea morphogenesis","tricarboxylic acid cycle, translation, proton motive force-driven mitochondrial ATP synthesis, endoplasmic reticulum to Golgi vesicle-mediated transport, mitochondrial translation, proteasome-mediated ubiquitin-dependent protein catabolic process, mitochondrial respiratory chain complex I assembly, mitochondrial electron transport, NADH to ubiquinone, proton transmembrane transport, cellular respiration, ribosomal small subunit biogenesis, aerobic respiration, positive regulation of telomere maintenance via telomerase, cytoplasmic translation, translational initiation, ribosomal large subunit biogenesis, inner mitochondrial membrane organization, protein folding, retinoid metabolic process, retinal ganglion cell axon guidance, intracellular protein transport, protein import into nucleus"
"caa","0.05","caa_4gp1","lifestyle","meiotic cell cycle, cellular response to copper ion","nervous system development, homophilic cell adhesion via plasma membrane adhesion molecules, tricarboxylic acid cycle, mitochondrial electron transport, cytochrome c to oxygen, central nervous system neuron development"
"caa","0.05","caa_4gp2","lifestyle","G protein-coupled receptor signaling pathway, potassium ion import across plasma membrane, negative regulation of growth, G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger, cellular response to zinc ion, miRNA-mediated post-transcriptional gene silencing, calcium ion import across plasma membrane","tricarboxylic acid cycle, endoplasmic reticulum to Golgi vesicle-mediated transport, response to unfolded protein, protein N-linked glycosylation, intracellular protein transport, mitochondrion organization, ubiquitin-dependent protein catabolic process, protein stabilization, ERAD pathway, negative regulation of protein localization to plasma membrane, fatty acid beta-oxidation, protein import into nucleus, protein N-linked glycosylation via asparagine, positive regulation of telomere maintenance via telomerase, negative regulation of apoptotic process, protein export from nucleus, endoplasmic reticulum unfolded protein response, proteasome-mediated ubiquitin-dependent protein catabolic process, protein folding, glutamine metabolic process, cellular respiration, regulation of autophagosome assembly, COPII-coated vesicle cargo loading"
"caa","0.05","caa_4gp3","lifestyle","cilium movement, cilium movement involved in cell motility, xenobiotic metabolic process","tricarboxylic acid cycle, proteasome-mediated ubiquitin-dependent protein catabolic process, protein import into nucleus, endoplasmic reticulum to Golgi vesicle-mediated transport, inner mitochondrial membrane organization, mitochondrion organization, ubiquitin-dependent protein catabolic process, retinal ganglion cell axon guidance"
"caa","0.05","caa_4gp1","AD","mRNA splicing, via spliceosome, flagellated sperm motility, cilium assembly, DNA repair, negative regulation of mRNA splicing, via spliceosome, replication fork processing, mRNA processing, complement activation, classical pathway, DNA-templated DNA replication","nervous system development, homophilic cell adhesion via plasma membrane adhesion molecules, social behavior, metanephros development, positive regulation of gene expression, positive regulation of synapse assembly, neuron differentiation, learning, synapse assembly, potassium ion transmembrane transport, cell adhesion, axonogenesis, positive regulation of axon extension, axon guidance, negative regulation of mitotic cell cycle, adult behavior, vocalization behavior, central nervous system neuron development, endocardial cushion morphogenesis, regulation of postsynaptic membrane potential, gamma-aminobutyric acid signaling pathway, synaptic membrane adhesion, learning or memory, myelination, establishment of epithelial cell polarity, camera-type eye morphogenesis, associative learning, neuromuscular process controlling balance, negative regulation of neuron differentiation, regulation of postsynaptic neurotransmitter receptor internalization, retinal ganglion cell axon guidance, inner ear development, vesicle transport along microtubule, regulation of presynaptic membrane potential, regulation of membrane potential"
"caa","0.05","caa_4gp2","AD","G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger, cilium movement involved in cell motility, axoneme assembly, flagellated sperm motility, cilium movement, ionotropic glutamate receptor signaling pathway, epithelial cilium movement involved in extracellular fluid movement, miRNA-mediated post-transcriptional gene silencing, cellular response to cadmium ion, rRNA processing","ubiquitin-dependent protein catabolic process, proteasome-mediated ubiquitin-dependent protein catabolic process, protein deubiquitination, protein ubiquitination, DNA damage response, negative regulation of apoptotic process, neuron differentiation, Wnt signaling pathway, post-embryonic development, angiogenesis, cellular response to BMP stimulus, stress granule assembly, protein polyubiquitination, endoplasmic reticulum to Golgi vesicle-mediated transport, protein stabilization, BMP signaling pathway, protein destabilization, negative regulation of protein localization to plasma membrane, osteoclast differentiation, protein dephosphorylation, erythrocyte differentiation, negative regulation of stem cell proliferation, mitochondrion organization, stem cell proliferation, positive regulation of gene expression, camera-type eye morphogenesis, protein import into nucleus, regulation of circadian rhythm, phosphatidylinositol dephosphorylation, positive regulation of vascular associated smooth muscle cell proliferation, COPII-coated vesicle cargo loading, regulation of neurotransmitter receptor localization to postsynaptic specialization membrane, metanephros development, regulation of translational initiation, cellular response to oxidative stress, myelination, phosphatidylinositol biosynthetic process, neuron migration, viral protein processing, osteoblast differentiation, regulation of autophagosome assembly, ERAD pathway, multicellular organismal-level iron ion homeostasis, axon guidance, tricarboxylic acid cycle, hippo signaling, negative regulation of mitotic cell cycle, endothelial cell proliferation, epithelial to mesenchymal transition, response to unfolded protein, protein export from nucleus, autophagy, positive regulation of ERAD pathway, negative regulation of transforming growth factor beta receptor signaling pathway, glutamine metabolic process, positive regulation of protein import into nucleus, peptidyl-threonine phosphorylation, intracellular protein transport, multicellular organism growth, ureteric bud development, epithelial cell proliferation, antigen processing and presentation, positive regulation of cardiac muscle cell proliferation, circadian rhythm, peptidyl-serine phosphorylation, learning or memory, retrograde transport, endosome to Golgi, protein transport, homeostasis of number of cells within a tissue, transforming growth factor beta receptor signaling pathway, response to endoplasmic reticulum stress, negative regulation of gene expression, cellular response to epidermal growth factor stimulus, regulation of protein stability, retinoid metabolic process, protein secretion, positive regulation of epithelial cell migration, negative regulation of protein phosphorylation, negative regulation of cell migration, protein localization to plasma membrane, heparan sulfate proteoglycan biosynthetic process, vasculogenesis, positive regulation of protein catabolic process, artery morphogenesis, magnesium ion transmembrane transport, gene expression, regulation of microtubule cytoskeleton organization, positive regulation of protein phosphorylation, regulation of synapse organization, positive regulation of cardiac muscle hypertrophy, regulation of mRNA stability, B cell differentiation, negative regulation of translation, protein autophosphorylation, axon extension, blood coagulation, positive regulation of miRNA transcription, protein K48-linked ubiquitination, endocardial cushion morphogenesis"
"caa","0.05","caa_4gp3","AD","cilium movement involved in cell motility, cilium movement, flagellated sperm motility, cytoplasmic translation, axoneme assembly, xenobiotic metabolic process, positive regulation of immune response, killing of cells of another organism, antimicrobial humoral immune response mediated by antimicrobial peptide, cilium assembly, sperm axoneme assembly","protein ubiquitination, ubiquitin-dependent protein catabolic process, angiogenesis, proteasome-mediated ubiquitin-dependent protein catabolic process, tricarboxylic acid cycle, homophilic cell adhesion via plasma membrane adhesion molecules, zinc ion transmembrane transport, protein import into nucleus, mitotic cytokinesis, protein polyubiquitination, nervous system development, osteoblast differentiation, Wnt signaling pathway, adult behavior, protein deubiquitination, cellular response to starvation, neuron differentiation, positive regulation of gene expression, positive regulation of mitochondrial fission, mitochondrion organization, protein transport, camera-type eye morphogenesis, regulation of signal transduction by p53 class mediator, axon guidance, negative regulation of mitotic cell cycle, protein dephosphorylation, nucleosome disassembly, metanephros development, neuron migration, negative regulation of cell migration, positive regulation of transcription by RNA polymerase III, retinal ganglion cell axon guidance, negative regulation of transforming growth factor beta receptor signaling pathway, cellular response to insulin stimulus, protein autophosphorylation, phosphatidylinositol-3-phosphate biosynthetic process, cellular response to steroid hormone stimulus, learning, endocardial cushion morphogenesis, regulation of ERK1 and ERK2 cascade, B cell differentiation, endoplasmic reticulum to Golgi vesicle-mediated transport, negative regulation of apoptotic process, stem cell proliferation, dendrite morphogenesis, embryonic placenta development, positive regulation of mitotic cell cycle, positive regulation of protein catabolic process"
"caa","0.05","caa_4gp1","path","flagellated sperm motility, cilium assembly, mRNA splicing, via spliceosome, DNA repair, negative regulation of mRNA splicing, via spliceosome, DNA duplex unwinding, xenobiotic metabolic process, replication fork processing, mRNA processing, mRNA splice site recognition, complement activation, classical pathway","nervous system development, homophilic cell adhesion via plasma membrane adhesion molecules, neuron differentiation, positive regulation of synapse assembly, positive regulation of gene expression, social behavior, synapse assembly, potassium ion transmembrane transport, metanephros development, learning, central nervous system neuron development, axonogenesis, endocardial cushion morphogenesis, learning or memory, vocalization behavior, multicellular organism growth, axon guidance, cell adhesion, positive regulation of axon extension, adult behavior, regulation of postsynaptic membrane potential, negative regulation of miRNA transcription, cellular response to BMP stimulus, camera-type eye morphogenesis, vesicle transport along microtubule, neuromuscular process controlling balance, modulation of chemical synaptic transmission, negative regulation of neuron differentiation, cellular response to steroid hormone stimulus, actomyosin structure organization, negative regulation of cell migration, negative regulation of DNA-binding transcription factor activity, optic nerve development, negative regulation of mitotic cell cycle, inner ear development, neuron migration, myelination"
