"intersection","n_genes","genes"
"basic & lifestyle",38,"CD38, GIPR, KDM5D, WDR3, DDX3Y, CREM, NIN, PDYN, CSTF2, CCDC113, DHRS7B, DDX25, USP9Y, RWDD3, TXLNGY, ORC3, PHF21A, RABEPK, SDSL, LYG1, GPRASP2, GEM, STXBP4, SERTAD3, RFLNB, MAFF, TNFAIP2, GSTK1, EIF1AY, GPRASP1, AL359878.1, LINC00472, AF127577.4, AC108002.1, AF131216.3, AC010889.1, AC007823.1, GAS6-DT"
"basic & AD",37,"CD38, GIPR, KDM5D, WDR3, DDX3Y, CREM, NIN, PDYN, CSTF2, CCDC113, DHRS7B, DDX25, USP9Y, RWDD3, TXLNGY, ORC3, PHF21A, SDSL, LYG1, GPRASP2, GEM, STXBP4, SERTAD3, FBXL7, RFLNB, MAFF, GSTK1, EIF1AY, GPRASP1, AL359878.1, LINC00472, AF127577.4, AC108002.1, AF131216.3, AC010889.1, AC007823.1, GAS6-DT"
"basic & path",1,"DDX3Y"
"lifestyle & AD",93,"CD38, GIPR, KDM5D, PTCD2, WDR3, DDX3Y, P2RX7, CREM, PRKY, NIN, NFKBIA, ZMYND8, PDYN, CSTF2, CCDC113, BLVRA, DHRS7B, DDX25, SLC6A12, TXNDC15, USP9Y, EBNA1BP2, DHDDS, TCTN3, RWDD3, PMS2, FKBP9, CALD1, PANK2, RPS4Y1, TXLNGY, IMMT, TBC1D8B, BTG1, ORC3, PHF21A, KIF13A, LRRC1, SDSL, TBX19, PSEN2, LYG1, GPR6, ZNF7, QTRT2, CARHSP1, FBXO36, CHD1, TMSB4Y, PPP2R2B, NMNAT2, FANCC, GPRASP2, TMED4, GEM, AL353743.1, STXBP4, SERTAD3, SCN11A, RNASEH2C, CCDC96, NAA20, SLCO3A1, NAP1L5, RFLNB, PRKX, MAFF, MRPL30, TRDN, C15orf62, GSTK1, EIF1AY, SLC5A3, GPRASP1, RF00019, LINC00898, AL359878.1, AC138409.2, AC005532.1, LINC00472, SP2-AS1, AF127577.4, AC122710.2, FAM86HP, AC108002.1, AF131216.3, AC010889.1, AC007823.1, AC139256.2, GAS6-DT, AC011815.2, AC073508.3, LINC00997"
"lifestyle & path",1,"DDX3Y"
"AD & path",1,"DDX3Y"
"basic & lifestyle & AD",36,"CD38, GIPR, KDM5D, WDR3, DDX3Y, CREM, NIN, PDYN, CSTF2, CCDC113, DHRS7B, DDX25, USP9Y, RWDD3, TXLNGY, ORC3, PHF21A, SDSL, LYG1, GPRASP2, GEM, STXBP4, SERTAD3, RFLNB, MAFF, GSTK1, EIF1AY, GPRASP1, AL359878.1, LINC00472, AF127577.4, AC108002.1, AF131216.3, AC010889.1, AC007823.1, GAS6-DT"
"basic & lifestyle & path",1,"DDX3Y"
"basic & AD & path",1,"DDX3Y"
"lifestyle & AD & path",1,"DDX3Y"
"basic & lifestyle & AD & path",1,"DDX3Y"
