"intersection","n_genes","genes"
"basic & lifestyle",29,"GIPR, RAPGEF3, AQP6, NFATC4, DOT1L, ERF, MYH3, PHF19, CDKN1C, CAMK1, DNAJB5, TMC6, ZNF233, SLC16A14, GEM, ARHGEF40, ALG10B, ETV4, HES7, FAM181B, SPACA6, BRCC3, PIM3, WDHD1, DLL1, FOXO6, TNRC6C-AS1, AC093580.1, AL365203.2"
"basic & AD",43,"GIPR, PHF21B, ATP1B3, RAPGEF3, AQP6, SLC4A11, NFATC4, DOT1L, ERF, MYH3, PHF19, PUS7L, CDKN1C, CAMK1, DNAJB5, TMC6, ATP8B2, CSRNP1, CC2D1B, ZNF233, SHKBP1, SLC16A14, GEM, ARHGEF40, SERTAD3, COL22A1, EIF3F, ALG10B, ETV4, HES7, FAM181B, SPACA6, BRCC3, SVIP, PIM3, WDHD1, DLL1, FOXO6, TNRC6C-AS1, AC093580.1, AL356599.1, AC108002.1, AL365203.2"
"basic & path",23,"NFATC4, DOT1L, ERF, MYH3, FGF12, PUS7L, CAMK1, DNAJB5, TMC6, ATP8B2, CC2D1B, ADAMTS13, ARHGEF40, COL22A1, ALG10B, FAM181B, SPACA6, SVIP, PIM3, WDHD1, DLL1, TNRC6C-AS1, AC093580.1"
"lifestyle & AD",29,"GIPR, RAPGEF3, AQP6, NFATC4, DOT1L, ERF, MYH3, PHF19, CDKN1C, CAMK1, DNAJB5, TMC6, ZNF233, SLC16A14, GEM, ARHGEF40, ALG10B, ETV4, HES7, FAM181B, SPACA6, BRCC3, PIM3, WDHD1, DLL1, FOXO6, TNRC6C-AS1, AC093580.1, AL365203.2"
"lifestyle & path",16,"NFATC4, DOT1L, ERF, MYH3, CAMK1, DNAJB5, TMC6, ARHGEF40, ALG10B, FAM181B, SPACA6, PIM3, WDHD1, DLL1, TNRC6C-AS1, AC093580.1"
"AD & path",21,"NFATC4, DOT1L, ERF, MYH3, PUS7L, CAMK1, DNAJB5, TMC6, ATP8B2, CC2D1B, ARHGEF40, COL22A1, ALG10B, FAM181B, SPACA6, SVIP, PIM3, WDHD1, DLL1, TNRC6C-AS1, AC093580.1"
"basic & lifestyle & AD",29,"GIPR, RAPGEF3, AQP6, NFATC4, DOT1L, ERF, MYH3, PHF19, CDKN1C, CAMK1, DNAJB5, TMC6, ZNF233, SLC16A14, GEM, ARHGEF40, ALG10B, ETV4, HES7, FAM181B, SPACA6, BRCC3, PIM3, WDHD1, DLL1, FOXO6, TNRC6C-AS1, AC093580.1, AL365203.2"
"basic & lifestyle & path",16,"NFATC4, DOT1L, ERF, MYH3, CAMK1, DNAJB5, TMC6, ARHGEF40, ALG10B, FAM181B, SPACA6, PIM3, WDHD1, DLL1, TNRC6C-AS1, AC093580.1"
"basic & AD & path",21,"NFATC4, DOT1L, ERF, MYH3, PUS7L, CAMK1, DNAJB5, TMC6, ATP8B2, CC2D1B, ARHGEF40, COL22A1, ALG10B, FAM181B, SPACA6, SVIP, PIM3, WDHD1, DLL1, TNRC6C-AS1, AC093580.1"
"lifestyle & AD & path",16,"NFATC4, DOT1L, ERF, MYH3, CAMK1, DNAJB5, TMC6, ARHGEF40, ALG10B, FAM181B, SPACA6, PIM3, WDHD1, DLL1, TNRC6C-AS1, AC093580.1"
"basic & lifestyle & AD & path",16,"NFATC4, DOT1L, ERF, MYH3, CAMK1, DNAJB5, TMC6, ARHGEF40, ALG10B, FAM181B, SPACA6, PIM3, WDHD1, DLL1, TNRC6C-AS1, AC093580.1"
