"phenotype","model","contrast","rank","GOID","TERM","ONTOLOGY"
"caa","basic","caa_4gp2","parent_term_1","GO:0006099","tricarboxylic acid cycle","BP"
"caa","basic","caa_4gp2","parent_term_2","GO:0006986","response to unfolded protein","BP"
"caa","basic","caa_4gp2","parent_term_3","GO:0045926","negative regulation of growth","BP"
"caa","basic","caa_4gp3","parent_term_1","GO:0006099","tricarboxylic acid cycle","BP"
"caa","basic","caa_4gp3","parent_term_2","GO:0003341","cilium movement","BP"
"caa","basic","caa_4gp3","parent_term_3","GO:0032212","positive regulation of telomere maintenance via telomerase","BP"
"caa","lifestyle","caa_4gp1","parent_term_1","GO:0006099","tricarboxylic acid cycle","BP"
"caa","lifestyle","caa_4gp1","parent_term_2","GO:0051321","meiotic cell cycle","BP"
"caa","lifestyle","caa_4gp1","parent_term_3","GO:0071280","cellular response to copper ion","BP"
"caa","lifestyle","caa_4gp2","parent_term_1","GO:0006099","tricarboxylic acid cycle","BP"
"caa","lifestyle","caa_4gp2","parent_term_2","GO:0006487","protein N-linked glycosylation","BP"
"caa","lifestyle","caa_4gp2","parent_term_3","GO:0006986","response to unfolded protein","BP"
"caa","lifestyle","caa_4gp3","parent_term_1","GO:0006099","tricarboxylic acid cycle","BP"
"caa","lifestyle","caa_4gp3","parent_term_2","GO:0003341","cilium movement","BP"
"caa","lifestyle","caa_4gp3","parent_term_3","GO:0007007","inner mitochondrial membrane organization","BP"
"caa","AD","caa_4gp1","parent_term_1","GO:0035176","social behavior","BP"
"caa","AD","caa_4gp1","parent_term_2","GO:0001656","metanephros development","BP"
"caa","AD","caa_4gp1","parent_term_3","GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules","BP"
"caa","AD","caa_4gp2","parent_term_1","GO:0016579","protein deubiquitination","BP"
"caa","AD","caa_4gp2","parent_term_2","GO:0071773","cellular response to BMP stimulus","BP"
"caa","AD","caa_4gp2","parent_term_3","GO:1903077","negative regulation of protein localization to plasma membrane","BP"
"caa","AD","caa_4gp3","parent_term_1","GO:0003341","cilium movement","BP"
"caa","AD","caa_4gp3","parent_term_2","GO:0006099","tricarboxylic acid cycle","BP"
"caa","AD","caa_4gp3","parent_term_3","GO:0071577","zinc ion transmembrane transport","BP"
"caa","path","caa_4gp1","parent_term_1","GO:0035176","social behavior","BP"
"caa","path","caa_4gp1","parent_term_2","GO:0051965","positive regulation of synapse assembly","BP"
"caa","path","caa_4gp1","parent_term_3","GO:0030317","flagellated sperm motility","BP"
"caa","path","caa_4gp2","parent_term_1","GO:0016579","protein deubiquitination","BP"
"caa","path","caa_4gp2","parent_term_2","GO:0007187","G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger","BP"
"caa","path","caa_4gp2","parent_term_3","GO:0006511","ubiquitin-dependent protein catabolic process","BP"
"caa","path","caa_4gp3","parent_term_1","GO:0060294","cilium movement involved in cell motility","BP"
"caa","path","caa_4gp3","parent_term_2","GO:0071577","zinc ion transmembrane transport","BP"
"caa","path","caa_4gp3","parent_term_3","GO:0030534","adult behavior","BP"
"art","basic","arteriol_scler1","parent_term_1","GO:0006919","activation of cysteine-type endopeptidase activity involved in apoptotic process","BP"
"art","basic","arteriol_scler1","parent_term_2","GO:0042177","negative regulation of protein catabolic process","BP"
"art","basic","arteriol_scler1","parent_term_3","GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules","BP"
"art","basic","arteriol_scler2","parent_term_1","GO:0002181","cytoplasmic translation","BP"
"art","basic","arteriol_scler2","parent_term_2","GO:0045595","regulation of cell differentiation","BP"
"art","basic","arteriol_scler2","parent_term_3","GO:0006958","complement activation, classical pathway","BP"
"art","basic","arteriol_scler3","parent_term_1","GO:0045595","regulation of cell differentiation","BP"
"art","basic","arteriol_scler3","parent_term_2","GO:0032543","mitochondrial translation","BP"
